,user,createdAt,reportsResolved,nThanks,has_givenName,has_location,has_website,has_bio,has_bugcrowdHandle,has_githubHandle,has_gitlabHandle,has_linkedinHandle,has_twitterHandle,yearJoined,hasExternalLink,nhacks,ndisclosedhacks,country
0,0,2020-01-03T15:39:57.584Z,1,1,1,0,1,0,0,0,0,0,0,2020,1,1,0,
1,1,2020-08-14T18:23:53.022Z,1,1,1,0,0,0,0,0,0,0,0,2020,0,1,0,
2,2,2020-01-17T14:29:14.549Z,42,11,1,1,0,0,0,0,0,0,1,2020,1,41,2,Egypt
3,3,2018-05-25T16:21:45.838Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
4,4,2019-06-18T10:23:46.430Z,1,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
5,5,2018-02-08T00:21:35.586Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
6,6,2016-08-22T16:35:13.584Z,1,2,1,0,0,0,0,0,0,0,0,2016,0,1,0,
7,7,2020-04-27T17:44:53.123Z,13,5,1,0,1,1,0,0,0,0,0,2020,1,13,0,
8,8,2021-05-21T21:04:33.332Z,2,1,1,0,1,1,0,0,0,0,0,2021,1,2,0,
9,9,2019-04-17T16:36:26.345Z,30,3,0,0,0,0,0,0,0,0,0,2019,0,20,0,
10,10,2016-09-29T17:30:19.856Z,1,1,1,0,0,0,0,0,0,0,0,2016,0,1,0,
11,11,2019-06-22T22:44:17.040Z,1,1,1,0,1,0,0,0,0,0,0,2019,1,1,0,
12,12,2020-01-14T17:55:39.368Z,1,1,1,1,0,0,0,1,0,1,1,2020,1,1,1,Germany
13,13,2015-05-29T11:56:34.394Z,1,1,1,0,0,0,0,0,0,0,0,2015,0,1,0,
14,14,2016-09-10T17:00:53.164Z,6,1,1,0,0,0,0,0,0,0,0,2016,0,2,0,
15,15,2016-10-23T09:45:09.929Z,9,4,1,0,0,0,0,0,0,0,0,2016,0,9,0,
16,16,2019-04-13T08:43:57.011Z,1,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
17,17,2018-02-09T18:44:49.253Z,1,1,1,1,0,0,0,0,0,0,0,2018,0,1,0,Brazil
